id,ma_thiet_bi,associated_with,loai_id,hang_san_xuat_id,so_dang_ky,so_giay_dang_kiem,nam_san_xuat,nam_su_dung,so_khung,so_may,dv_so_huu_id,dv_quan_ly_id,dv_thue_id,khu_vuc_id,model_id,ghi_chu,tag_1,last_modified_by_user_id
39,VTH-001,Q01,49,5,KE01,19MT-2614,2002,2002,,,2,1,1000,1,1000,,,
40,VTH-002,Q02,49,5,KE02,19MT-2615,2000,2000,,,2,8,1000,5,1000,,,
41,VTH-003,Q03,49,5,KE03,19MT-2616,2000,2000,,,2,16,1000,17,1000,,,
42,VTH-004,Q04,49,5,KE04,19MT-2617,2002,2002,,,2,1,1000,1,1000,,,
43,VTH-005,Q05,49,5,KE05,19MT-2618,2005,2005,,,2,1,1000,12,1000,,,
44,VTH-006,Q06,49,5,KE06,19MT-2619,2004,2004,,,2,1,1000,12,1000,,,
45,VTH-007,Q07,49,5,KE07,19MT-2620,2004,2004,,,2,1,1000,12,1000,,,
46,VTH-008,Q08,49,5,KE08,19MT-2621,2004,2004,,,2,1,1000,1,1000,,,
47,VTH-009,Q09,49,5,KE09,19MT-2622,2005,2005,,,2,1,1000,1,1000,,,
48,VTH-010,Q10,49,5,KE10,19MT-2623,2005,2005,,,2,1,1000,1,1000,,,
49,VTH-011,Q11,49,5,KE11,19MT-2624,2007,2007,,,2,1,1000,1,1000,,,
50,VTH-012,Q12,49,5,KE12,19MT-2625,2007,2007,,,2,1,1000,1,1000,,,
51,VTH-013,Q14,49,5,KE14,19MT-2626,2007,2007,,,2,1,1000,1,1000,,,
52,VTH-014,Q15,49,5,KE15,,2009,2009,,,2,1,1000,1,1000,,,
53,VTH-015,Q16,49,5,KE16,,2009,2009,,,4,1,1000,1,1000,,,
54,VTH-016,Q17,49,5,KOCK17,19MT-2916,2011,2011,,,3,3,1000,1,1000,,,
55,VTH-017,Q18,49,5,KOCK18,19MT-2915,2011,2011,,,3,3,1000,1,1000,,,
56,VTH-018,Q19,49,5,KOCK19,,2012,2012,,,4,4,1000,1,1000,,,
57,VTH-019,Q20,49,5,KOCK20,,2013,2013,,,29,29,1000,1,1000,,,
58,VTH-020,Q21,49,5,KOCK21,,2013,2013,,,29,29,1000,1,1000,,,
59,VTH-021,Q22,49,5,KOCK22,,2014,2014,,,29,29,1000,1,1000,,,
60,VTH-022,Q24,49,5,KOCK24,,2014,2014,,,17,1,1000,1,1000,,,
61,VTH-023,Q25,49,5,KOCK25,,2014,2014,,,17,1,1000,1,1000,,,
62,VTH-024,Q98,49,5,KOCK98,,2013,2013,,,36,36,1000,1,1000,,,
63,VTH-025,Q99,49,5,KOCK99,,2013,2013,,,36,36,1000,1,1000,,,
64,VTH-026,Q01_CM,49,2,KOCK01,19MT-2613,2009,2009,SC400K,,11,12,1000,3,1000,,,
65,VTH-027,Q02_CM,49,2,KOCK02,19MT-2630,2009,2009,SC400K,,11,12,1000,3,1000,,,
66,VTH-028,Q03_CM,49,2,KOCK03,19MT-2629,2009,2009,SC400K,,11,12,1000,3,1000,,,
67,VTH-029,STS01,49,3,STS01,,,,,,12,12,1000,3,1000,,,
68,VTH-030,STS02,49,3,STS02,,,,,,12,12,1000,3,1000,,,
69,VTH-031,STS03,49,3,STS03,,,,,,12,12,1000,3,1000,,,
70,VTH-032,STS04,49,3,STS04,,,,,,12,12,1000,3,1000,,,
71,VTH-033,STS05,49,3,STS05,,,,,,12,12,1000,3,1000,,,
72,VTH-034,STS06,49,3,STS06,,,,,,12,12,1000,3,1000,,,
73,VTH-035,QIHI01,49,4,QCIHI01,,2013,2013,,,32,32,1000,3,1000,,,
74,VTH-036,QIHI02,49,4,QCIHI02,,2013,2013,,,32,32,1000,3,1000,,,
75,VTH-037,QIHI03,49,4,QCIHI03,,2013,2013,,,32,32,1000,3,1000,,,
76,VTH-038,QIHI04,49,4,QCIHI04,,2013,2013,,,32,32,1000,3,1000,,,
77,LBH01_SD,LBH01_SD,5,6,01-TC,,2000,2000,162.068,,2,7,1000,8,1000,,,
78,LBH02_TC,LBH02_TC,5,6,02-TC,19MT-781,2000,2000,126.066,,2,3,1000,10,1000,,,
79,LBH03_TC,LBH03_TC,5,6,03-TC,19MT-1496,2000,2000,162.14,,2,7,1000,19,1000,,,
80,LBH04_TC,LBH04_TC,5,6,04-TC,19MT-1495,2000,2000,162.139,,2,3,1000,2,1000,,,
81,LBH04_CL,LBH04_CL,5,6,04-CL,19MT-2436,2000,2000,165.016,,3,3,1000,1,1000,,,
82,LBH05_CL,LBH05_CL,5,6,05-CL,19MT-782,2000,2000,126.067,,3,3,1000,1,1000,,,
83,LBH01_NT,LBH01_NT,5,6,01-NT,19MT-1501,2000,2000,162.138,,3,3,1000,10,1000,,,
84,LBH06_CL,LBH06_CL,5,6,LB06,,2009,2010,165.017,,4,3,1000,1,1000,,,
85,LBH01_CAO,LBH01_CAO,5,6,LB01CM,19MT-1495,2000,2000,162.141,,2,7,1000,9,1000,,,
86,HP01,HP01,5,6,HP01,,2014,2014,,,2,17,1000,12,1000,,,
87,LBCM01,LBCM01,5,6,LBCM01,,2014,2014,,,11,11,1000,3,1000,,,
88,LBH01-HP,LBH01-HP,5,6,LB02CM,19MT-2436,2010,2010,162.069,,2,3,1000,6,1000,,,
89,LBHR01,LBHR01,6,6,,19MT-1517,2002,2002,14019238,,2,8,1000,5,1000,,,
90,LBHR02,LBHR02,6,6,,19MT-1516,2002,2002,14019239,,2,16,1000,17,1000,,,
91,LBR-189,LBR-189,6,6,,,,,,,8,8,1000,5,1000,,,
92,LBR,LBR,6,6,,,,,,,3,3,1000,6,1000,,,
93,LBR,LBR,6,6,,,,,,,9,9,1000,6,1000,,,
94,LBR128,LBR128,6,6,,,,,,,9,9,1000,6,1000,,,
95,QC40-01,QC40-01,7,8,QC 40-01,19MT-745,1995,1995,718,45.19439,2,8,1000,5,1000,,,
96,QC40-02,QC40-02,7,8,QC 40-02,19MT-746,1995,1995,717,45.105.425,2,8,1000,5,1000,,,
97,QC40-03,QC40-03,7,8,QC 40-03,19MT-747,1995,1995,716,45.097.209,2,8,1000,5,1000,,,
98,QC40-04,QC40-04,7,8,QC 40-04,19MT-739,1995,1995,728,45.163.870,2,3,1000,6,1000,,,
99,QC40-05,QC40-05,7,8,QC 40-05,19MT-740,1995,1995,729,45.119.417,2,3,1000,6,1000,,,
100,QC40-06,QC40-06,7,8,QC 40-06,19MT-750,1995,1995,727,45.105.496,2,8,1000,5,1000,,,
101,QC40-07,QC40-07,7,8,QC 40-07,19MT-742,1996,1996,815,45.320.266,2,3,1000,6,1000,,,
102,QC40-08,QC40-08,7,8,QC 40-08,19MT-743,1996,1996,813,45.342.358,2,8,1000,5,1000,,,
103,QC40-09,QC40-09,7,8,QC 40-09,19MT-744,1996,1996,816,45.342.359,2,3,1000,6,1000,,,
104,QC40-10,QC40-10,10,9,QC 40-10,19MT-1514,1995,2003,,,11,11,1000,3,1000,,,
105,QC40-11,QC40-11,7,8,QC 40-11,19MT-1513,1995,2003,,,2,2,1000,7,1000,,,
106,QC40-12,QC40-12,7,8,QC 40-12,19MT-2853,1995,2003,,,2,2,1000,7,1000,,,
107,QC40-13,QC40-13,10,9,QC 40-13,19MT-1506,1998,2004,,,2,13,1000,4,1000,,,
108,QC40-14,QC40-14,10,9,QC 40-14,19MT-1507,1998,2004,,,2,13,1000,4,1000,,,
109,QC40-15,QC40-15,10,9,QC 40-15,19MT-1498,1998,2004,,,2,13,1000,4,1000,,,
110,QC40-16,QC40-16,10,9,QC 40-16,19MT-1500,1998,2004,,,2,3,1000,10,1000,,,
111,QC40-17,QC40-17,10,9,QC 40-17,19MT-1499,1998,2004,,,2,3,1000,10,1000,,,
112,QC40-18,QC40-18,7,8,QC 40-18,19MT-1794,2006,2006,1624,46553564,2,2,1000,1,1000,,,
113,QC40-19,QC40-19,7,8,QC 40-19,19MT-1796,2006,2006,1622,46553562,2,1,1000,1,1000,,,
114,QC40-20,QC40-20,7,8,QC 40-20,19MT-1797,2006,2006,718,45.19439,3,3,1000,1,1000,,,
115,QC40-21,QC40-21,7,8,QC 40-21,19MT-1799,2006,2006,717,45.105.425,3,3,1000,1,1000,,,
116,QC40-22,QC40-22,7,8,QC 40-22,19MT-1798,2006,2006,716,45.097.209,3,3,1000,1,1000,,,
117,QC40-23,QC40-23,7,8,QC 40-23,19MT-1793,2006,2006,,,2,2,1000,1,1000,,,
118,QC40-24,QC40-24,7,8,QC 40-24,19MT-1795,2006,2006,,,2,2,1000,1,1000,,,
119,QC40-25,QC40-25,7,8,QC 40-25,19MT-1792,2006,2006,,,2,2,1000,1,1000,,,
120,QC40-26,QC40-26,7,8,QC 40-26,19MT-1800,2006,2006,,,2,3,1000,1,1000,,,
121,QC40-27,QC40-27,7,8,QC 40-27,19MT-1801,2006,2006,,,2,1,1000,19,1000,,,
122,QC40-28,QC40-28,8,7,QC 40-28,19MT-2144,2008,2008,40694,79959552,2,1,1000,1,1000,,,
123,QC40-29,QC40-29,8,7,QC 40-29,19MT-2143,2008,2008,40691,79259551,2,1,1000,1,1000,,,
124,QC40-30,QC40-30,8,7,QC 40-30,19MT-2142,2008,2008,40693,79259554,2,1,1000,1,1000,,,
125,QC40-31,QC40-31,8,7,QC 40-30,19MT-2135,2008,2008,40692,79259553,2,1,1000,1,1000,,,
126,QC40-32,QC40-32,8,7,QC 40-32,19MT-2128,2008,2008,40696,79263581,2,1,1000,1,1000,,,
127,QC40-33,QC40-33,8,7,QC 40-33,19MT-2134,2008,2008,40695,79252625,2,1,1000,1,1000,,,
128,QC40-34,QC40-34,8,7,QC 40-34,19MT-2133,2008,2008,40697,79266792,2,1,1000,1,1000,,,
129,QC40-35,QC40-35,8,7,QC 40-35,19MT-2131,2008,2008,40698,79263584,2,1,1000,1,1000,,,
130,QC40-36,QC40-36,8,7,QC 40-36,19MT-2132,2008,2008,40699,79263582,2,1,1000,1,1000,,,
131,QC40-37,QC40-37,8,7,QC 40-37,19MT-2130,2008,2008,40700,79263583,2,1,1000,1,1000,,,
132,QC40-38,QC40-38,8,7,QC 40-38,19MT-2127,2008,2008,40717,79290324,2,1,1000,12,1000,,,
133,QC40-39,QC40-39,8,7,QC 40-39,19MT-2139,2008,2008,40718,79290325,2,1,1000,12,1000,,,
134,QC40-40,QC40-40,8,7,QC 40-40,19MT-2126,2008,2008,40720,79287681,2,1,1000,1,1000,,,
135,QC40-41,QC40-41,8,7,QC 40-41,19MT-2141,2008,2008,40719,79287682,2,1,1000,12,1000,,,
136,QC40-42,QC40-42,8,7,QC 40-42,19MT-2129,2008,2008,40721,79285601,2,1,1000,12,1000,,,
137,QC40-43,QC40-43,8,7,QC 40-43,19MT-2140,2008,2008,40722,79280351,2,1,1000,1,1000,,,
138,QC40-44,QC40-44,7,8,QC 40-44,,1997,2009,,49702108,3,1,1000,1,1000,,,
139,QC40-45,QC40-45,7,8,QC 40-45,,1997,2009,,49702109,3,1,1000,1,1000,,,
140,QC40-46,QC40-46,7,8,QC 40-46,19MT-2917,1997,2009,,49702112,3,3,1000,1,1000,,,
141,QC40-47,QC40-47,8,17,QC 40-47,19MT-2414,2009,2009,,,2,1,1000,1,1000,,,
142,QC40-48,QC40-48,8,17,QC 40-48,19MT-2412,2009,2009,,,2,1,1000,1,1000,,,
143,QC40-49,QC40-49,8,10,QC 40-49,19MT-2551,2010,2010,M01-02,,11,1,1000,1,1000,,,
144,QC40-50,QC40-50,8,10,QC 40-50,19MT-2552,2010,2010,M01-01,,2,1,1000,1,1000,,,
145,QC40-51,QC40-51,8,7,QC 40-51,19MT-2673,2010,2011,40963,79396416,2,1,1000,1,1000,,,
146,QC40-52,QC40-52,8,7,QC 40-52,19MT-2673,2010,2011,40964,79435599,2,1,1000,1,1000,,,
147,QC40-53,QC40-53,8,7,QC 40-53,19MT-2670,2010,2011,40968,,3,1,1000,1,1000,,,
148,QC40-54,QC40-54,8,7,QC 40-54,19MT-2675,2010,2011,40969,,3,1,1000,1,1000,,,
149,QC40-55,QC40-55,8,7,QC 40-55,,2010,2011,40979,79435596,6,1,1000,1,1000,,,
150,QC40-56,QC40-56,8,7,QC 40-56,,2010,2011,40978,79435600,6,1,1000,1,1000,,,
151,QC40-57,QC40-57,8,7,G01 (40-57),19MT-2232,2008,2008,40723,79285600,11,1,1000,1,1000,,,
152,QC40-58,QC40-58,8,7,G02 (40-58),19MT-2235,2008,2008,40724,79280352,11,1,1000,1,1000,,,
153,QC40-59,QC40-59,8,7,G03 (40-59),19MT-2236,2008,2008,40725,79280353,11,1,1000,1,1000,,,
154,QC40-60,QC40-60,8,7,G04 (40-60),19MT-2452,2008,2008,40726,79266779,11,1,1000,1,1000,,,
155,QC40-61,QC40-61,8,7,G05 (40-61),19MT-2233,2009,2010,40939,518300,11,1,1000,1,1000,,,
156,QC40-62,QC40-62,8,7,G06 (40-62),19MT-2451,2009,2010,40942,793111571,11,1,1000,1,1000,,,
157,QC40-65,QC40-65,8,7,G07 (40-65),19MT-2449,2009,2010,40944,79396414,11,1,1000,1,1000,,,
158,QC40-64,QC40-64,8,7,G08 (40-64),19MT-2454,2009,2010,,79396415,11,1,1000,1,1000,,,
159,QC40-63,QC40-63,8,7,G09 (40-63),19MT-2453,2009,2010,,79396413,11,1,1000,1,1000,,,
160,QC40-66,QC40-66,8,7,G10 (40-66),,2009,2010,40940,793957247,11,1,1000,1,1000,,,
161,QC40-67,QC40-67,8,7,QC 40-67,,2012,2012,,,5,1,1000,1,1000,,,
162,QC40-68,QC40-68,8,7,QC 40-68,,2012,2012,,,5,1,1000,1,1000,,,
163,QC40-69,QC40-69,8,7,QC 40-69,,2012,2012,,,4,1,1000,1,1000,,,
164,QC40-70,QC40-70,8,7,QC 40-70,,2012,2012,,,4,1,1000,1,1000,,,
165,QC40-71,QC40-71,7,8,QC0_71,,2013,2013,,,2,1,1000,1,1000,,,
166,QC40-72,QC40-72,7,8,QC0_72,,2013,2013,,,2,1,1000,1,1000,,,
167,QC40-73,QC40-73,7,8,QC0_73,,2013,2013,,,5,1,1000,1,1000,,,
168,QC40-74,QC40-74,7,8,QC0_74,,2013,2013,,,5,1,1000,1,1000,,,
169,QC40-75,QC40-75,8,7,QC 40-75,,2014,2014,,,3,1,1000,1,1000,,,
170,QC40-76,QC40-76,8,7,QC 40-76,,2014,2014,,,3,1,1000,1,1000,,,
171,QC40-77,QC40-77,8,7,QC 40-77,,2014,2014,,,29,1,1000,1,1000,,,
172,QC40-78,QC40-78,8,7,QC 40-78,,2014,2014,,,29,1,1000,1,1000,,,
173,QC40-79,QC40-79,8,7,QC 40-79,,2014,2014,,,17,1,1000,1,1000,,,
174,QC40-80,QC40-80,8,7,QC 40-80,,2014,2014,,,17,1,1000,1,1000,,,
175,QC40-81,QC40-81,8,7,QC 40-81,,2014,2014,,,7,1,1000,1,1000,,,
176,QC40-82,QC40-82,8,7,QC 40-82,,2014,2014,,,7,1,1000,1,1000,,,
177,QC40-83,QC40-83,8,7,QC 40-83,,2014,2014,,,10,1,1000,1,1000,,,
178,QC40-84,QC40-84,8,7,QC 40-84,,2014,2014,,,16,1,1000,1,1000,,,
179,RTG-01,RTG01,8,3,,,,,,,12,12,1000,3,1000,,,
180,RTG-02,RTG02,8,3,,,,,,,12,12,1000,3,1000,,,
181,RTG-03,RTG03,8,3,,,,,,,12,12,1000,3,1000,,,
182,RTG-04,RTG04,8,3,,,,,,,12,12,1000,3,1000,,,
183,RTG-05,RTG05,8,3,,,,,,,12,12,1000,3,1000,,,
184,RTG-06,RTG06,8,3,,,,,,,12,12,1000,3,1000,,,
185,RTG-07,RTG07,8,3,,,,,,,12,12,1000,3,1000,,,
186,RTG-08,RTG08,8,3,,,,,,,12,12,1000,3,1000,,,
187,RTG-09,RTG09,8,3,,,,,,,12,12,1000,3,1000,,,
188,RTG-10,RTG10,8,3,,,,,,,12,12,1000,3,1000,,,
189,RTG-11,RTG11,8,3,,,,,,,12,12,1000,3,1000,,,
190,RTG-12,RTG12,8,3,,,,,,,12,12,1000,3,1000,,,
191,RTG-13,RTG13,8,3,,,,,,,12,12,1000,3,1000,,,
192,RTG-14,RTG14,8,3,,,,,,,12,12,1000,3,1000,,,
193,RTG-15,RTG15,8,3,,,,,,,12,12,1000,3,1000,,,
194,RTG-16,RTG16,8,3,,,,,,,12,12,1000,3,1000,,,
195,RTG-17,RTG17,8,3,,,,,,,12,12,1000,3,1000,,,
196,RTG-18,RTG18,8,3,,,,,,,12,12,1000,3,1000,,,
197,RTG-19,RTG19,8,3,,,,,,,12,12,1000,3,1000,,,
198,RTG-20,RTG20,8,3,,,,,,,12,12,1000,3,1000,,,
199,RTG-IHI-01,RTGIHI01,8,4,,,2013,2013,33092,,32,32,1000,3,1000,,,
200,RTG-IHI-02,RTGIHI02,8,4,,,2013,2013,33093,,32,32,1000,3,1000,,,
201,RTG-IHI-03,RTGIHI03,8,4,,,2013,2013,33094,,32,32,1000,3,1000,,,
202,RTG-IHI-04,RTGIHI04,8,4,,,2013,2013,33095,,32,32,1000,3,1000,,,
203,RTG-IHI-05,RTGIHI05,8,4,,,2013,2013,33096,,32,32,1000,3,1000,,,
204,RTG-IHI-06,RTGIHI06,8,4,,,2013,2013,33097,,32,32,1000,3,1000,,,
205,RTG-IHI-07,RTGIHI07,8,4,,,2013,2013,33098,,32,32,1000,3,1000,,,
206,RTG-IHI-08,RTGIHI08,8,4,,,2013,2013,33099,,32,32,1000,3,1000,,,
207,RTG-IHI-09,RTGIHI09,8,4,,,2013,2013,33100,,32,32,1000,3,1000,,,
208,RTG-IHI-10,RTGIHI10,8,4,,,2013,2013,33101,,32,32,1000,3,1000,,,
209,RTG-IHI-11,RTGIHI11,8,4,,,2013,2013,33102,,32,32,1000,3,1000,,,
210,RTG-IHI-12,RTGIHI12,8,4,,,2013,2013,33103,,32,32,1000,3,1000,,,
211,RTG-IHI-13,RTGIHI13,8,4,,,2013,2013,33104,,32,32,1000,3,1000,,,
212,RTG-IHI-14,RTGIHI14,8,4,,,2013,2013,33105,,32,32,1000,3,1000,,,
213,RTG-IHI-15,RTGIHI15,8,4,,,2013,2013,33106,,32,32,1000,3,1000,,,
214,QC01-40,QC01_40,11,7,QC 01-40,19MT-750,1992,1992,T341100437,,2,11,1000,3,1000,,Forklift,
215,QC02-40,QC02_40,11,7,QC 02-40,19MT-751,1982,1992,22867,,5,5,1000,1,1000,,Forklift,
216,QC03-40,QC03_40,11,7,QC 03-40,19MT-749,1994,1994,Z65271,261270,2,7,1000,8,1000,,ReachStacker,
217,QC04-40,QC04_40,11,11,QC 04-40,19MT-763,1994,1994,51855031,23543578,2,7,1000,9,1000,,ReachStacker,
218,QC05-40,QC05_40,11,12,QC 05-40,19MT-754,1997,1998,1439704,294463,2,6,1000,2,1000,,ReachStacker,
219,QC06-40,QC06_40,11,13,QC 06-40,19MT-758,1998,1998,,500418,2,14,1000,7,1000,,ReachStacker,
220,QC07-40,QC07_40,11,13,QC 07-40,19MT-759,1998,1998,,500419,2,6,1000,2,1000,,ReachStacker,
221,QC08-40,QC08_40,11,13,QC 08-40,19MT-787,2000,2000,500769,4823,2,16,1000,17,1000,,ReachStacker,
222,QC09-40,QC09_40,11,13,QC 09-40,19MT-785,2000,2000,40500768,4824,2,13,1000,1,1000,,ReachStacker,
223,QC10-40,QC10_40,11,7,QC 10-40,19MT-2355,2002,2002,T341070876,2100320627,3,3,1000,1,1000,,ReachStacker,
224,QC11-40,QC11_40,11,13,QC 11-40,19MT-2356,2001,2004,500769,2100314823,2,6,1000,15,1000,,ReachStacker,
225,QC12-40,QC12_40,11,7,QC 12-40,19MT-2404,2003,2003,T34107.1005,,3,3,1000,1,1000,,ReachStacker,
226,QC13-40,QC13_40,11,14,QC 13-40,19MT-2376,1995,2003,T3455RS,442900-000-876066,2,13,1000,4,1000,,ReachStacker,
227,QC14-40,QC14_40,11,14,QC 14-40,19MT-2357,1995,2003,ZA9F198H5,,2,7,1000,8,1000,,ReachStacker,
228,QC15-40,QC15_40,11,7,QC 15-40,19MT-2405,2004,2004,T34107.1041,210032543,3,3,1000,1,1000,,ReachStacker,
229,QC16-40,QC16_40,11,7,QC 16-40,19MT-2403,2004,2004,T341130183,2100329263,3,3,1000,1,1000,,ReachStacker,
230,QC17-40,QC17_40,11,13,QC 17-40,19MT-2395,2001,2004,500905,2100318496,3,3,1000,10,1000,,ReachStacker,
231,QC18-40,QC18_40,11,13,QC 18-40,19MT-2394,2001,2004,500907,,3,3,1000,1,1000,,ReachStacker,
232,QC19-40,QC19_40,11,7,QC 19-40,19MT-2402,2004,2004,T341130231,2100330078,3,3,1000,19,1000,,ReachStacker,
233,QC20-40,QC20_40,11,7,QC 20-40,19MT-2401,1994,2005,T34101.0057,265125,3,7,1000,8,1000,,ReachStacker,
234,QC21-40,QC21_40,11,6,QC 21-40,19MT-2358,2005,2006,145022,2004044162,2,2,1000,1,1000,,ReachStacker,
235,QC22-40,QC22_40,11,6,QC 22-40,19MT-2359,2005,2006,145024,2005042227,2,2,1000,1,1000,,ReachStacker,
236,QC23-40,QC23_40,11,7,QC 23-40,19MT-2400,2006,2007,T341130937,D12C606141,3,3,1000,1,1000,,ReachStacker,
237,QC24-40,QC24_40,11,7,QC 24-40,19MT-2399,2006,2007,T341130963,D12C607950A,3,3,1000,19,1000,,ReachStacker,
238,QC25-40,QC25_40,11,7,QC 25-40,19MT-2398,2006,2007,T341130967,D12C609362A,3,3,1000,19,1000,,ReachStacker,
239,QC26-40,QC26_40,11,7,QC 26-40,19MT-2397,2006,2007,T341130980,D12C609672A,3,3,1000,1,1000,,ReachStacker,
240,QC29-40,QC29_40,11,7,,,,,,,10,10,1000,1,1000,,ReachStacker,
241,QC30-40,QC30_40,11,7,,,,,,,10,10,1000,1,1000,,ReachStacker,
242,QC35-40,QC35_40,11,15,QC 35-40,,2009,2009,,,14,14,1000,1,1000,,ReachStacker,
243,QC36-40,QC36_40,11,7,QC 36-40,19MT-2604,2010,2010,,,3,3,1000,1,1000,,ReachStacker,
244,QC38-40,QC38_40,11,7,QC 38-40,19MT-2603,2010,2010,A11300322,,6,6,1000,1,1000,,ReachStacker,
245,QC39-40,QC39_40,11,7,QC 39-40,19MT-2607,2010,2010,A11300328,,6,6,1000,1,1000,,ReachStacker,
246,QC41-40,QC41_40,11,7,QC 41-40,19MT-2606,2010,2011,,,17,17,1000,12,1000,,ReachStacker,
247,QC43-40,QC43_40,11,7,QC 43-40,19MT-2672,2010,2011,,,3,3,1000,1,1000,,ReachStacker,
248,QC44-40,QC44_40,11,7,QC 44-40,19MT-2606,2010,2011,,,17,17,1000,1,1000,,ReachStacker,
249,QC46-40,QC46_40,11,7,QC 46-40,,2010,2011,,,5,5,1000,2,1000,,ReachStacker,
250,QC47-40,QC47_40,11,7,QC 47-40,,2010,2011,,,16,16,1000,1,1000,,ReachStacker,
251,R01,R01,11,7,R01,,2010,2010,H11300282,247011,11,11,1000,3,1000,,ReachStacker,
252,X01,X01,11,16,,,,,,,12,12,1000,3,1000,,ReachStacker,
253,VT1,VT1,11,9,VT1,,,,,,7,7,1000,8,1000,,ReachStacker,
254,VT2,VT2,11,9,VT2,,,,,,7,7,1000,8,1000,,ReachStacker,
255,QC49-40,QC49-40,11,7,,,2014,2014,,,7,7,1000,1,1000,,ReachStacker,
256,QC40-50,QC40-50,11,7,,,2014,2014,,,6,6,1000,1,1000,,ReachStacker,
257,QC20-01,QC20-01,11,7,QC 20-01,19MT-752,1988,1994,T341100453,230HP/143857,5,5,1000,7,1000,,Forklift,
258,QC20-02,QC20-02,11,7,QC 20-02,19MT-753,1988,1994,56924,230Hp/206249,2,6,1000,15,1000,,Forklift,
259,QC20-04,QC20-04,11,17,QC 20-04,19MT-761,1988,1995,22830,230Hp/138661,2,5,1000,1,1000,,Forklift,
260,QC15-01,QC15-01,13,18,QC 15-01,19MT-765,1983,1993,56924,37114960.1,2,5,1000,7,1000,,Forklift,
261,QC15-02,QC15-02,13,19,QC 15-02,19MT-764,1983,1992,,225253,6,6,1000,2,1000,,Forklift,
262,QC15-03,QC15-03,13,12,QC 15-03,19MT-755,1997,1998,1499801-R1,1011122,2,7,1000,9,1000,,ReachStacker,
263,QC15-04,QC15-04,13,13,QC 15-04,19MT-760,1998,1998,500420,500420,2,3,1000,1,1000,,ReachStacker,
264,QC15-05,QC15-05,13,13,QC 15-05,19MT-786,2000,2001,500767,2071137193,2,3,1000,1,1000,,ReachStacker,
265,QC15-06,QC15-06,13,20,QC 15-06,19MT-2361,1994,2003,H00452,7873955,2,6,1000,16,1000,,Forklift,
266,QC15-07,QC15-07,13,7,QC 15-07,19MT-2360,2003,2003,T34100.0174,3677937,2,7,1000,8,1000,,Forklift,
267,QC15-08,QC15-08,13,12,QC 15-08,19MT-2362,1997,2003,1429704,1011122,2,6,1000,1,1000,,ReachStacker,
268,QC15-09,QC15-09,13,12,QC 15-09,19MT-2396,1994,2004,1219403R1,IG71A35265870,2,6,1000,1,1000,,ReachStacker,
269,QC15-10,QC15-10,13,7,QC 15-10,19MT-2350,2000,2005,T341070671,2071137815,2,13,1000,4,1000,,ReachStacker,
270,QC15-11,QC15-11,13,7,QC 15-11,19MT-2363,1999,2005,T341070416,2071116710,2,14,1000,7,1000,,ReachStacker,
271,QC15-12,QC15-12,13,7,QC 15-12,19MT-2364,1999,2005,T341070435,2071117574,2,3,1000,1,1000,,ReachStacker,
272,QC15-13,QC15-13,13,7,QC 15-13,19MT-2365,2006,2006,T341070443,20711119892,2,3,1000,1,1000,,ReachStacker,
273,QC15-14,QC15-14,13,14,QC 15-14,19MT-2366,1998,2006,ZA9F148H602A26014,D696452,2,5,1000,1,1000,,ReachStacker,
274,QC15-15,QC15-15,13,14,QC 15-15,19MT-2367,2006,2006,,,2,6,1000,16,1000,,ReachStacker,
275,QC15-16,QC15-16,13,7,QC 15-16,19MT-2368,2006,2006,T341071144,5310191373,3,3,1000,1,1000,,ReachStacker,
276,QC15-17,QC15-17,13,7,QC 15-17,19MT-2369,2006,2006,T341071143,5310191375,3,3,1000,1,1000,,ReachStacker,
277,QC15-18,QC15-18,13,7,QC 15-18,19MT-2605,2010,2010,CLARK13.7HR32335,5310191375,3,3,1000,1,1000,,ReachStacker,
278,QC15-19,QC15-19,13,7,QC 15-19,,2010,2010,,,17,17,1000,1,1000,,ReachStacker,
279,QC15-20,QC15-20,13,7,QC 15-20,19MT-2671,2010,2010,DANA - 340FTE1731,,3,3,1000,1,1000,,ReachStacker,
280,QC15-21,QC15-21,13,7,QC 15-21,,2010,2010,,,18,18,1000,1,1000,,ReachStacker,
281,QC15-22,QC15-22,13,7,QC 15-22,,2004,,T34710.1093,5300955750,30,3,1000,1,1000,,ReachStacker,
282,QC15-23,QC15-23,13,7,QC 15-23,,2004,,T34710.1107,531012738,30,3,1000,1,1000,,ReachStacker,
283,QC07-02,QC07-02,13,21,QC 07-02,,1980,1993,,,27,27,1000,18,1000,,Forklift,
284,QC07-03,QC07-03,13,21,QC 07-03,,1980,1993,,,2,13,1000,4,1000,,Forklift,
285,TC01,TC01,13,21,,,,,,,10,10,1000,1,1000,,Forklift,
286,SC79-04,SC79-04,13,7,,,2002,2008,,,10,10,1000,1,1000,,ReachStacker,
287,KV-01,KV_01,14,17,KV 01,,2000,2004,,,2,6,1000,2,1000,,Forklift,
288,KV-02,KV_02,19,17,KV 02,,1990,2000,15N2 3234,148300,2,5,1000,1,1000,,Forklift,
289,KV-03,KV_03,19,19,KV 03,,1990,2001,10698,3B152763,2,5,1000,1,1000,,Forklift,
290,KV-04,KV_04,19,22,KV 04,,2001,2001,,,2,5,1000,7,1000,,Forklift,
291,KV-05,KV_05,14,22,KV 05,,2001,2001,,,2,6,1000,1,1000,,Forklift,
